Усиливающ,5,"Также ваша Сила увеличивается на 2, с максимумом 24."
Регенерирующ,5,"Также вы можете раз в день активировать его, чтобы восстанавливать 1 хит в начале своего хода в течение 10 минут, если у вас есть хотя бы 1 хит. "
Белоснежн,1,"Также вы получаете сопротивление к урону холодом."
Ускоряющ,5,"Также ваша скорость ходьбы увеличивается на 10 футов."
Ежевичн,1,"Также вы можете раз в день сотворять заклинание чудо-ягоды. "
Грозов,2,"Также вы получаете сопротивление к урону звуком."
Сер,1,"Также вы можете неограниченно накладывать заклинание облако тумана."
Надменн,1,"Также вы не можете быть очарованы, испуганы и ошеломлены. "
Сторожев,2,"Также вас невозможно застать врасплох и вы можете добавлять 1к4 к броскам инициативы."
Морозн,1,"Также вы можете неограниченно накладывать заклинание ледяной кинжал."
Хрустальн,1,"Также вы получаете сопротивление психической энергии."
Дымящ,4,"Также вы можете раз в день накладывать заклинание зловонное облако. "
Искрящ,4,"Также вы владеете заговором электрошок."
Перерождающ,4,"Также если вы потеряете сознание, то будете стабилизированы."
Светящ,4,"Также вы владеете заговором свет."
Дружелюбн,1,"Также все животные считают вас своим союзником."
Вампирическ,6,"Также если вы попадаете атакой оружием по живой цели, то восстанавливаете 1к4 хитов."
Жесток,6,"Также все выпавшие «19» при броске атаки считаются критическими попаданиями."
Силов,2,"Также ваша Сила становится равна 15. Он не оказывает эффекта, если ваша сила выше."
Умн,1,"Также ваш Интеллект становится равен 15. Он не оказывает эффекта, если ваш Интеллект выше."
Проворн,1,"Также ваша Ловкость становится равна 15. Он не оказывает эффекта, если ваша Ловкость выше."
Крепк,6,"Также ваше Телосложение становится равным 15. Он не оказывает эффекта, если ваше Телосложение выше."
Рассудительн,1,"Также ваша Мудрость становится равной 15. Он не оказывает эффекта, если ваша Мудрость выше."
Обаятельн,1,"Также ваша Харизма становится равной 15. Он не оказывает эффекта, если ваша Харизма выше."
Маскарадн,1,"Также вы можете неограниченно накладывать заклинание маскировка."
Абсорбирующ,5,"Также вы получаете сопротивление к урону силовым полем."
Созерцательн,1,"Также вы получаете слепое зрение в радиусе 20 фт."
