умений,"Пока вы настроены на артефакт, раз в день вы можете удвоить бонус мастерства для любого навыка, которым владеете."
здоровья,"Пока вы настроены на артефакт, вы обладаете иммунитетом к болезням."
иммунитета,"Пока вы настроены на артефакт, вы обладаете иммунитетом к ядам."
защиты,"Пока вы настроены на артефакт, вы получаете бонус +1 к КД. "
паука,"Пока вы настроены на артефакт, вы получаете скорость лазания 15 фт."
плутовства,"Пока вы настроены на артефакт, вы владеете заговором малая иллюзия."
чародейства,"Пока вы настроены на артефакт, вы получаете бонус +1 к броскам атаки заклинаниями и Сл спасбросков ваших заклинаний."
обнаружения,"Пока вы настроены на артефакт, вы можете неограниченно накладывать заклинание обнаружение добра и зла."
яда,"Пока вы настроены на артефакт, если вы попадаете атакой оружием, цель дополнительно получает 1к4 урона ядом."
правды,"Пока вы настроены на артефакт, вы получаете преимущество на проверки Мудрости (Проницательность)."
прыжков,"Пока вы настроены на артефакт, вы можете бонусным действием накладывать заклинание прыжок, но нацеливаясь только на себя."
левитации,"Пока вы настроены на артефакт, вы можете бонусным действием накладывать заклинание левитация, но нацеливаясь только на себя."
душегуба,"Пока вы настроены на артефакт, если вы опускаете хиты живого существа до 0, то вы получаете 1к6 временных хитов."
гнева,"Пока вы настроены на артефакт, в бою вы совершаете атаки с преимуществом по тем существам, которые нанесли вам урон."
магического экрана,"Пока вы настроены на артефакт, вы можете реакцией уменьшить нанесённый вам урон от заклинаний на 1к4. "
древесной войны,"Пока вы настроены на артефакт, вы наносите дополнительный урон 2к6 всем растениям."
фокусировки,"Пока вы настроены на артефакт, вы можете использовать его как заклинательную фокусировку волшебника, колдуна или чародея и вы можете перекинуть одну кость урона от заговора или заклинания."
хамелеона,"Пока вы настроены на артефакт, вы владеете навыком скрытности. Вы также совершаете проверки Скрытности с преимуществом, если остаётесь неподвижны."
сопротивления,"Пока вы настроены на артефакт, вы получаете бонус +1 к спасброскам. "
праведности,"Пока вы настроены на артефакт, если вы можете использовать божественный канал, то получаете 1 дополнительное использование. "
зрения,"Пока вы настроены на артефакт, вы получаете тёмное зрение в радиусе 60 фт. Если у вас уже было тёмное зрение, очки увеличивают его радиус на 60 фт."
