Усиливающ,5,"Пока вы настроены на артефакт, ваша Сила увеличивается на 2, с максимумом 24."
Регенерирующ,5,"Пока вы настроены на артефакт, вы можете раз в день активировать его, чтобы восстанавливать 1 хит в начале своего хода в течение 10 минут, если у вас есть хотя бы 1 хит. "
Белоснежн,1,"Пока вы настроены на артефакт, вы получаете сопротивление к урону холодом."
Ускоряющ,5,"Пока вы настроены на артефакт, ваша скорость ходьбы увеличивается на 10 футов."
Ежевичн,1,"Пока вы настроены на артефакт, вы можете раз в день сотворять заклинание чудо-ягоды. "
Грозов,2,"Пока вы настроены на артефакт, вы получаете сопротивление к урону звуком."
Сер,1,"Пока вы настроены на артефакт, вы можете неограниченно накладывать заклинание облако тумана."
Надменн,1,"Пока вы настроены на артефакт, вы не можете быть очарованы, испуганы и ошеломлены. "
Сторожев,2,"Пока вы настроены на артефакт, вас невозможно застать врасплох и вы можете добавлять 1к4 к броскам инициативы."
Морозн,1,"Пока вы настроены на артефакт, вы можете неограниченно накладывать заклинание ледяной кинжал."
Хрустальн,1,"Пока вы настроены на артефакт, вы получаете сопротивление психической энергии."
Дымящ,4,"Пока вы настроены на артефакт, вы можете раз в день накладывать заклинание зловонное облако. "
Искрящ,4,"Пока вы настроены на артефакт, вы владеете заговором электрошок."
Перерождающ,4,"Пока вы настроены на артефакт, если вы потеряете сознание, то будете стабилизированы."
Светящ,4,"Пока вы настроены на артефакт, вы владеете заговором свет."
Дружелюбн,1,"Пока вы настроены на артефакт, все животные считают вас своим союзником."
Вампирическ,6,"Пока вы настроены на артефакт, если вы попадаете атакой оружием по живой цели, то восстанавливаете 1к4 хитов."
Жесток,6,"Пока вы настроены на артефакт, все выпавшие «19» при броске атаки считаются критическими попаданиями."
Силов,2,"Пока вы настроены на артефакт, ваша Сила становится равна 15. Он не оказывает эффекта, если ваша сила выше."
Умн,1,"Пока вы настроены на артефакт, ваш Интеллект становится равен 15. Он не оказывает эффекта, если ваша сила выше."
Проворн,1,"Пока вы настроены на артефакт, ваша Ловкость становится равна 15. Он не оказывает эффекта, если ваша сила выше."
Крепк,6,"Пока вы настроены на артефакт, ваше Телосложение становится равным 15. Он не оказывает эффекта, если ваша сила выше."
Рассудительн,1,"Пока вы настроены на артефакт, ваша Мудрость становится равной 15. Он не оказывает эффекта, если ваша сила выше."
Обаятельн,1,"Пока вы настроены на артефакт, ваша Харизма становится равной 15. Он не оказывает эффекта, если ваша сила выше."
Маскарадн,1,"Пока вы настроены на артефакт, вы можете неограниченно накладывать заклинание маскировка."
Абсорбирующ,5,"Пока вы настроены на артефакт, вы получаете сопротивление к урону силовым полем."
Созерцательн,1,"Пока вы настроены на артефакт, вы получаете слепое зрение в радиусе 20 фт."
